age,state,area_type,family_income,father_education,mother_education,siblings_count,distance_to_school_km,toilet_facility,internet_access,scholarship,early_marriage_risk,attendance_percentage,academic_performance,dropout
16,Odisha,Urban,3-5 Lakh,Primary,Illiterate,3,1.6,Yes,Yes,Yes,No,71,64,0
11,Gujarat,Rural,Above 5 Lakh,Illiterate,Primary,5,0.0,No,No,No,No,100,69,0
13,West Bengal,Urban,1-3 Lakh,Graduate,Primary,1,1.5,Yes,No,No,Yes,64,80,1
16,Bihar,Urban,1-3 Lakh,Illiterate,Secondary,3,2.8,No,No,No,No,74,26,0
14,Odisha,Rural,Below 1 Lakh,Primary,Illiterate,0,2.3,No,Yes,No,No,52,55,1
13,Bihar,Rural,Below 1 Lakh,Graduate,Graduate,2,6.4,Yes,No,Yes,Yes,67,41,1
16,Maharashtra,Rural,Below 1 Lakh,Illiterate,Illiterate,0,1.3,No,Yes,No,No,71,32,0
16,West Bengal,Rural,Below 1 Lakh,Graduate,Secondary,2,3.2,Yes,No,No,No,73,67,0
17,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Graduate,5,4.9,Yes,No,No,No,71,26,0
12,Odisha,Rural,1-3 Lakh,Secondary,Secondary,6,3.1,No,No,No,No,74,20,0
14,Madhya Pradesh,Urban,3-5 Lakh,Secondary,Primary,0,2.2,Yes,No,Yes,No,90,42,1
14,Gujarat,Urban,Below 1 Lakh,Graduate,Secondary,0,4.7,No,No,No,Yes,65,61,1
17,Tamil Nadu,Rural,1-3 Lakh,Primary,Primary,6,0.8,Yes,No,No,Yes,74,31,1
15,Karnataka,Urban,Below 1 Lakh,Secondary,Illiterate,1,11.8,Yes,No,Yes,No,54,68,1
13,Bihar,Urban,Above 5 Lakh,Secondary,Illiterate,0,2.0,Yes,No,No,No,42,55,1
15,West Bengal,Urban,Below 1 Lakh,Graduate,Secondary,5,0.4,No,Yes,No,Yes,56,42,1
17,West Bengal,Urban,Below 1 Lakh,Secondary,Illiterate,2,1.6,No,Yes,No,No,57,62,1
16,Karnataka,Rural,3-5 Lakh,Primary,Secondary,3,0.5,No,No,No,No,70,68,0
11,Uttar Pradesh,Rural,Above 5 Lakh,Illiterate,Illiterate,3,1.5,Yes,Yes,No,No,51,57,1
15,Tamil Nadu,Rural,Below 1 Lakh,Primary,Graduate,3,0.5,Yes,No,No,No,72,67,0
15,Bihar,Rural,Above 5 Lakh,Secondary,Primary,1,3.3,Yes,No,Yes,No,71,56,0
11,Gujarat,Rural,Below 1 Lakh,Secondary,Primary,1,1.9,No,Yes,Yes,No,87,73,0
13,West Bengal,Rural,Above 5 Lakh,Illiterate,Illiterate,1,0.7,No,No,Yes,No,100,61,0
11,West Bengal,Rural,1-3 Lakh,Primary,Illiterate,6,10.8,Yes,No,Yes,Yes,100,52,1
16,Karnataka,Rural,Below 1 Lakh,Primary,Graduate,3,4.7,Yes,Yes,No,Yes,86,59,1
12,Rajasthan,Rural,Below 1 Lakh,Primary,Secondary,0,2.7,No,Yes,Yes,No,79,48,0
12,Karnataka,Urban,Above 5 Lakh,Secondary,Secondary,6,2.4,No,No,No,No,73,56,0
12,Maharashtra,Urban,3-5 Lakh,Graduate,Illiterate,3,1.5,No,No,No,No,69,84,1
15,Maharashtra,Urban,1-3 Lakh,Illiterate,Illiterate,5,5.8,Yes,Yes,No,No,75,67,0
17,Uttar Pradesh,Rural,1-3 Lakh,Secondary,Primary,2,2.0,Yes,No,Yes,No,54,95,0
13,Gujarat,Urban,1-3 Lakh,Primary,Secondary,0,2.0,No,No,No,No,81,100,0
15,Uttar Pradesh,Urban,Above 5 Lakh,Illiterate,Secondary,1,0.8,Yes,No,No,Yes,61,46,1
17,Tamil Nadu,Rural,Below 1 Lakh,Secondary,Secondary,2,3.8,No,Yes,Yes,Yes,63,44,1
12,Uttar Pradesh,Rural,3-5 Lakh,Secondary,Graduate,1,1.6,Yes,No,Yes,No,79,64,0
16,Bihar,Urban,3-5 Lakh,Secondary,Primary,4,0.1,No,No,Yes,No,63,29,1
13,Tamil Nadu,Rural,1-3 Lakh,Primary,Primary,4,0.1,No,Yes,No,No,67,56,0
15,Tamil Nadu,Rural,Below 1 Lakh,Primary,Illiterate,4,1.6,Yes,No,Yes,No,88,73,0
11,Maharashtra,Rural,3-5 Lakh,Primary,Graduate,3,2.4,Yes,No,No,No,60,84,1
13,West Bengal,Rural,Below 1 Lakh,Graduate,Illiterate,6,1.5,No,No,No,No,72,30,1
16,Odisha,Rural,Below 1 Lakh,Secondary,Primary,4,1.3,No,Yes,No,Yes,81,64,1
14,Karnataka,Rural,1-3 Lakh,Secondary,Secondary,4,1.6,Yes,No,No,No,93,58,0
12,Madhya Pradesh,Rural,1-3 Lakh,Secondary,Primary,3,1.5,Yes,No,Yes,No,79,70,0
12,Uttar Pradesh,Rural,1-3 Lakh,Primary,Illiterate,6,1.5,Yes,Yes,No,No,87,45,0
16,Bihar,Rural,Below 1 Lakh,Graduate,Illiterate,5,4.2,Yes,Yes,No,No,57,89,0
11,Rajasthan,Urban,Below 1 Lakh,Primary,Illiterate,6,0.9,No,Yes,Yes,Yes,81,39,1
15,Odisha,Rural,1-3 Lakh,Illiterate,Illiterate,4,0.2,Yes,No,No,Yes,64,38,1
12,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Graduate,2,2.9,Yes,Yes,Yes,Yes,50,100,0
11,Bihar,Urban,1-3 Lakh,Graduate,Illiterate,2,0.4,Yes,Yes,Yes,No,78,67,0
14,West Bengal,Rural,1-3 Lakh,Primary,Primary,0,0.1,No,Yes,Yes,No,86,66,0
14,Tamil Nadu,Urban,1-3 Lakh,Graduate,Primary,1,1.6,Yes,Yes,Yes,No,93,59,0
13,Gujarat,Urban,Below 1 Lakh,Graduate,Primary,3,1.4,Yes,Yes,Yes,No,63,77,0
14,Maharashtra,Urban,3-5 Lakh,Primary,Graduate,0,1.7,No,No,Yes,No,51,63,0
13,Karnataka,Urban,Below 1 Lakh,Primary,Primary,4,0.5,Yes,Yes,No,No,54,45,1
12,Madhya Pradesh,Rural,3-5 Lakh,Primary,Primary,6,1.8,No,Yes,Yes,Yes,71,48,0
17,Bihar,Rural,1-3 Lakh,Secondary,Secondary,1,5.2,Yes,No,No,No,80,64,0
11,Karnataka,Urban,1-3 Lakh,Primary,Secondary,6,2.5,No,Yes,No,No,61,42,0
16,West Bengal,Urban,1-3 Lakh,Graduate,Illiterate,5,11.3,Yes,No,No,No,74,47,1
12,West Bengal,Rural,1-3 Lakh,Graduate,Secondary,1,2.3,Yes,Yes,Yes,No,73,67,0
16,Karnataka,Rural,Below 1 Lakh,Primary,Primary,3,1.2,Yes,Yes,No,Yes,65,48,1
15,Rajasthan,Urban,1-3 Lakh,Secondary,Illiterate,4,1.3,Yes,No,No,No,35,51,0
11,Bihar,Rural,Above 5 Lakh,Secondary,Secondary,3,3.3,Yes,No,No,No,86,100,0
12,Uttar Pradesh,Rural,Below 1 Lakh,Secondary,Primary,4,2.3,Yes,Yes,No,Yes,100,53,1
16,Gujarat,Rural,3-5 Lakh,Secondary,Illiterate,0,0.0,Yes,Yes,No,No,91,77,0
11,Bihar,Urban,Below 1 Lakh,Graduate,Secondary,3,0.1,Yes,Yes,Yes,No,90,46,0
12,Maharashtra,Urban,Below 1 Lakh,Secondary,Secondary,1,0.1,Yes,Yes,No,No,79,53,0
11,Maharashtra,Rural,3-5 Lakh,Primary,Secondary,2,1.7,No,Yes,Yes,Yes,80,84,1
11,Gujarat,Rural,Above 5 Lakh,Primary,Graduate,0,2.0,Yes,No,No,No,82,79,0
11,Karnataka,Urban,1-3 Lakh,Secondary,Secondary,0,0.2,Yes,No,Yes,No,76,34,1
12,Karnataka,Urban,Below 1 Lakh,Graduate,Illiterate,0,5.0,Yes,Yes,Yes,No,62,65,0
12,West Bengal,Rural,3-5 Lakh,Primary,Secondary,1,1.0,Yes,Yes,No,No,69,60,0
17,Gujarat,Rural,3-5 Lakh,Illiterate,Primary,5,4.8,No,No,Yes,No,83,100,0
16,Rajasthan,Rural,Below 1 Lakh,Secondary,Secondary,1,0.1,No,Yes,No,No,83,63,0
17,Karnataka,Urban,Below 1 Lakh,Illiterate,Primary,3,0.4,No,No,No,No,78,69,0
17,Uttar Pradesh,Urban,Below 1 Lakh,Graduate,Secondary,6,1.5,Yes,No,Yes,No,79,80,0
17,Madhya Pradesh,Rural,Below 1 Lakh,Primary,Illiterate,3,0.1,Yes,Yes,No,Yes,100,67,1
12,Uttar Pradesh,Rural,Below 1 Lakh,Illiterate,Primary,0,7.9,Yes,Yes,No,No,64,57,1
16,Rajasthan,Rural,1-3 Lakh,Illiterate,Secondary,4,0.5,No,No,No,Yes,68,79,1
14,Odisha,Rural,Above 5 Lakh,Illiterate,Primary,4,1.7,Yes,Yes,No,No,78,59,0
11,Rajasthan,Rural,1-3 Lakh,Illiterate,Primary,2,1.2,Yes,Yes,Yes,Yes,90,68,1
11,Madhya Pradesh,Rural,1-3 Lakh,Secondary,Illiterate,2,1.9,Yes,Yes,No,No,44,80,0
13,Maharashtra,Rural,Below 1 Lakh,Secondary,Graduate,3,3.2,No,No,Yes,Yes,53,41,1
16,Maharashtra,Rural,Below 1 Lakh,Graduate,Illiterate,6,1.6,No,No,Yes,No,72,57,1
12,Odisha,Urban,1-3 Lakh,Illiterate,Secondary,3,7.0,No,Yes,No,No,82,47,1
16,West Bengal,Rural,Above 5 Lakh,Graduate,Illiterate,0,0.3,Yes,No,No,No,75,51,0
12,Karnataka,Rural,1-3 Lakh,Primary,Illiterate,3,8.6,Yes,No,No,No,49,85,1
15,Maharashtra,Rural,3-5 Lakh,Illiterate,Illiterate,3,6.4,No,No,No,No,64,41,1
13,Tamil Nadu,Rural,3-5 Lakh,Primary,Primary,5,0.6,No,No,Yes,No,87,52,0
15,Maharashtra,Rural,Below 1 Lakh,Graduate,Illiterate,0,0.7,Yes,No,Yes,No,75,46,0
16,West Bengal,Rural,3-5 Lakh,Graduate,Illiterate,5,1.6,No,Yes,No,No,91,48,1
14,Madhya Pradesh,Urban,Below 1 Lakh,Primary,Secondary,5,4.7,Yes,No,Yes,No,78,50,0
12,Tamil Nadu,Urban,1-3 Lakh,Graduate,Primary,4,0.4,Yes,No,Yes,No,100,43,0
17,Madhya Pradesh,Rural,1-3 Lakh,Graduate,Graduate,2,2.3,Yes,No,Yes,Yes,64,88,1
15,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Illiterate,4,2.9,Yes,No,Yes,No,72,54,0
15,Tamil Nadu,Urban,Below 1 Lakh,Illiterate,Illiterate,2,0.5,Yes,Yes,No,Yes,96,76,1
12,Odisha,Rural,Below 1 Lakh,Primary,Illiterate,1,0.8,No,No,Yes,No,47,42,1
14,Bihar,Rural,1-3 Lakh,Graduate,Secondary,0,4.5,Yes,No,No,No,99,66,0
11,Tamil Nadu,Rural,Above 5 Lakh,Primary,Illiterate,5,1.1,Yes,Yes,No,Yes,30,63,1
16,Gujarat,Urban,Below 1 Lakh,Secondary,Secondary,5,2.1,Yes,No,No,No,61,20,1
17,Karnataka,Rural,3-5 Lakh,Primary,Primary,5,5.8,No,No,No,No,68,75,1
14,Maharashtra,Rural,Below 1 Lakh,Secondary,Illiterate,1,10.7,Yes,Yes,Yes,No,75,59,0
15,Bihar,Rural,1-3 Lakh,Illiterate,Illiterate,3,4.4,Yes,No,No,No,66,89,0
17,Odisha,Urban,3-5 Lakh,Illiterate,Illiterate,2,0.9,Yes,No,Yes,Yes,64,41,1
15,Madhya Pradesh,Rural,Below 1 Lakh,Primary,Primary,6,1.1,No,No,No,No,65,75,1
17,West Bengal,Urban,1-3 Lakh,Primary,Illiterate,3,2.1,Yes,No,No,No,73,44,0
15,Karnataka,Rural,Below 1 Lakh,Primary,Secondary,0,0.6,No,No,No,No,100,45,0
11,Tamil Nadu,Rural,Below 1 Lakh,Primary,Graduate,3,0.2,Yes,No,No,No,65,48,1
13,Madhya Pradesh,Urban,3-5 Lakh,Primary,Primary,3,3.7,Yes,No,No,No,80,72,0
12,Rajasthan,Rural,1-3 Lakh,Secondary,Secondary,3,2.0,No,Yes,No,Yes,83,67,0
12,Bihar,Rural,3-5 Lakh,Secondary,Illiterate,4,1.3,Yes,Yes,Yes,Yes,74,53,0
15,Maharashtra,Rural,Below 1 Lakh,Illiterate,Secondary,2,1.5,Yes,No,No,Yes,63,76,1
11,Tamil Nadu,Rural,Below 1 Lakh,Primary,Secondary,4,1.5,No,No,Yes,No,48,75,1
13,Maharashtra,Rural,3-5 Lakh,Secondary,Primary,2,0.8,No,Yes,Yes,Yes,99,81,1
14,Karnataka,Urban,Below 1 Lakh,Secondary,Primary,6,3.0,Yes,Yes,No,No,55,58,1
15,Karnataka,Rural,Below 1 Lakh,Illiterate,Secondary,0,3.7,No,Yes,No,No,30,73,1
15,Odisha,Rural,3-5 Lakh,Secondary,Secondary,6,5.2,Yes,Yes,Yes,No,74,77,0
16,Rajasthan,Rural,3-5 Lakh,Primary,Secondary,6,1.4,Yes,No,Yes,No,100,57,0
15,Madhya Pradesh,Rural,1-3 Lakh,Graduate,Primary,6,6.5,Yes,No,No,No,46,36,0
17,Odisha,Rural,Below 1 Lakh,Graduate,Illiterate,0,0.7,Yes,Yes,No,No,57,59,1
13,Uttar Pradesh,Rural,1-3 Lakh,Secondary,Illiterate,2,0.5,No,No,No,No,53,48,1
11,Odisha,Rural,Below 1 Lakh,Illiterate,Illiterate,1,0.5,Yes,No,Yes,Yes,57,63,1
13,Tamil Nadu,Rural,Below 1 Lakh,Primary,Primary,4,1.5,Yes,No,No,Yes,70,67,1
15,Tamil Nadu,Urban,1-3 Lakh,Illiterate,Primary,0,2.6,Yes,Yes,No,No,93,65,0
12,Madhya Pradesh,Urban,1-3 Lakh,Secondary,Primary,5,2.2,Yes,No,Yes,Yes,63,69,1
13,Tamil Nadu,Rural,Above 5 Lakh,Illiterate,Secondary,6,0.1,Yes,Yes,Yes,No,53,80,0
16,Odisha,Urban,Below 1 Lakh,Primary,Primary,1,0.6,No,Yes,No,No,49,72,0
16,Bihar,Rural,Below 1 Lakh,Graduate,Primary,6,1.0,Yes,No,Yes,No,62,58,0
15,Tamil Nadu,Rural,Below 1 Lakh,Primary,Secondary,1,0.7,Yes,Yes,Yes,No,65,62,0
16,Odisha,Rural,1-3 Lakh,Secondary,Illiterate,3,3.9,No,No,No,No,83,63,0
13,Karnataka,Rural,Below 1 Lakh,Primary,Primary,5,4.5,Yes,No,No,No,64,67,1
16,Karnataka,Rural,1-3 Lakh,Secondary,Illiterate,0,1.1,Yes,Yes,No,No,81,45,0
14,Odisha,Rural,1-3 Lakh,Graduate,Primary,1,0.0,Yes,Yes,No,No,88,46,1
12,Madhya Pradesh,Urban,Above 5 Lakh,Primary,Secondary,5,5.9,Yes,No,Yes,Yes,74,78,0
12,Madhya Pradesh,Rural,Above 5 Lakh,Graduate,Illiterate,3,2.7,No,No,Yes,No,88,41,0
15,Gujarat,Rural,Below 1 Lakh,Illiterate,Illiterate,4,4.6,Yes,No,Yes,Yes,59,74,1
11,Madhya Pradesh,Rural,Above 5 Lakh,Secondary,Primary,0,2.5,Yes,No,No,No,70,82,0
12,West Bengal,Rural,Below 1 Lakh,Illiterate,Primary,2,0.1,Yes,No,Yes,Yes,63,34,1
12,Karnataka,Rural,1-3 Lakh,Primary,Illiterate,6,1.0,Yes,Yes,No,Yes,61,88,1
17,Bihar,Rural,Below 1 Lakh,Illiterate,Secondary,0,2.1,Yes,No,No,Yes,99,70,1
17,Rajasthan,Rural,Below 1 Lakh,Primary,Primary,0,2.4,Yes,Yes,Yes,No,95,64,0
11,Gujarat,Urban,Above 5 Lakh,Secondary,Primary,5,1.3,No,No,Yes,No,31,51,1
13,Gujarat,Urban,1-3 Lakh,Graduate,Secondary,6,11.3,No,Yes,No,No,84,44,0
16,Odisha,Rural,Above 5 Lakh,Primary,Illiterate,5,3.3,Yes,Yes,No,No,90,100,0
11,Odisha,Rural,Above 5 Lakh,Illiterate,Illiterate,5,0.3,Yes,No,No,No,73,58,1
17,Bihar,Rural,1-3 Lakh,Primary,Illiterate,1,3.7,Yes,Yes,No,No,96,76,0
15,Gujarat,Rural,Below 1 Lakh,Illiterate,Primary,6,14.9,Yes,Yes,No,No,59,52,0
12,Karnataka,Urban,3-5 Lakh,Secondary,Illiterate,6,0.1,No,No,Yes,Yes,45,84,1
13,Karnataka,Urban,3-5 Lakh,Secondary,Secondary,1,3.2,No,No,No,No,65,55,0
16,Bihar,Urban,Above 5 Lakh,Graduate,Primary,2,6.1,Yes,Yes,No,Yes,90,65,0
16,Rajasthan,Urban,Below 1 Lakh,Secondary,Illiterate,1,4.5,No,Yes,Yes,No,82,76,1
13,Odisha,Rural,1-3 Lakh,Graduate,Primary,0,2.7,Yes,Yes,No,Yes,65,26,1
14,Karnataka,Rural,3-5 Lakh,Primary,Illiterate,1,0.4,No,Yes,No,No,63,76,1
13,Uttar Pradesh,Urban,Below 1 Lakh,Primary,Primary,6,3.2,Yes,No,No,No,62,77,1
14,Uttar Pradesh,Rural,3-5 Lakh,Primary,Secondary,2,0.2,No,Yes,No,Yes,74,79,1
11,Karnataka,Urban,Below 1 Lakh,Secondary,Primary,5,1.6,Yes,No,No,Yes,82,70,1
14,Uttar Pradesh,Rural,Below 1 Lakh,Secondary,Illiterate,4,0.3,No,Yes,No,No,78,62,0
13,Tamil Nadu,Rural,Above 5 Lakh,Illiterate,Secondary,0,2.0,Yes,No,No,Yes,74,75,0
11,Uttar Pradesh,Urban,Above 5 Lakh,Illiterate,Primary,6,2.2,Yes,No,Yes,No,100,60,0
13,Madhya Pradesh,Rural,Below 1 Lakh,Illiterate,Primary,4,1.2,No,Yes,Yes,No,89,82,0
11,Tamil Nadu,Rural,Below 1 Lakh,Illiterate,Graduate,3,0.3,Yes,Yes,No,No,50,45,1
16,Odisha,Rural,Below 1 Lakh,Graduate,Secondary,5,6.5,Yes,Yes,No,No,78,80,0
13,Karnataka,Urban,1-3 Lakh,Secondary,Primary,0,1.0,Yes,No,No,No,89,55,0
13,Madhya Pradesh,Rural,3-5 Lakh,Graduate,Illiterate,3,2.6,Yes,No,Yes,Yes,79,40,1
13,Tamil Nadu,Rural,Below 1 Lakh,Graduate,Illiterate,4,0.0,Yes,No,Yes,Yes,92,47,1
16,Karnataka,Urban,1-3 Lakh,Primary,Secondary,5,3.6,Yes,Yes,No,No,84,76,0
16,West Bengal,Rural,1-3 Lakh,Graduate,Primary,0,2.6,Yes,No,Yes,No,67,68,0
11,Uttar Pradesh,Rural,1-3 Lakh,Secondary,Illiterate,3,1.4,No,No,Yes,No,86,94,0
15,Tamil Nadu,Rural,1-3 Lakh,Secondary,Illiterate,3,5.6,No,No,Yes,No,85,46,1
12,Uttar Pradesh,Rural,3-5 Lakh,Primary,Secondary,3,1.3,Yes,No,No,No,51,48,0
11,Rajasthan,Urban,1-3 Lakh,Secondary,Primary,1,2.4,Yes,No,No,Yes,53,68,1
13,West Bengal,Rural,Below 1 Lakh,Secondary,Illiterate,4,3.0,No,No,No,No,56,62,1
17,West Bengal,Rural,3-5 Lakh,Primary,Secondary,1,2.6,Yes,No,No,Yes,83,48,1
11,Gujarat,Rural,Below 1 Lakh,Primary,Secondary,1,1.3,Yes,No,No,Yes,82,84,0
16,Odisha,Rural,1-3 Lakh,Graduate,Secondary,5,0.4,No,No,No,No,62,78,0
14,Gujarat,Urban,Below 1 Lakh,Illiterate,Secondary,2,0.2,No,No,No,No,89,67,0
11,Bihar,Urban,3-5 Lakh,Graduate,Illiterate,1,8.4,No,No,No,No,56,56,1
13,Gujarat,Urban,Below 1 Lakh,Illiterate,Graduate,2,4.3,Yes,Yes,No,No,82,100,0
17,Karnataka,Rural,Below 1 Lakh,Illiterate,Graduate,3,5.0,No,No,No,No,45,87,0
16,Gujarat,Urban,Below 1 Lakh,Primary,Illiterate,2,1.8,Yes,No,Yes,No,91,24,0
11,West Bengal,Urban,Above 5 Lakh,Secondary,Secondary,1,1.2,No,No,Yes,Yes,70,60,0
15,Odisha,Urban,1-3 Lakh,Primary,Primary,4,3.8,Yes,No,No,No,80,60,0
16,Karnataka,Urban,3-5 Lakh,Primary,Secondary,0,0.4,Yes,Yes,No,No,60,28,1
14,Madhya Pradesh,Rural,3-5 Lakh,Illiterate,Primary,3,1.6,Yes,Yes,No,No,65,26,0
16,Gujarat,Rural,1-3 Lakh,Primary,Illiterate,3,2.8,Yes,No,No,No,30,66,1
16,Gujarat,Rural,Below 1 Lakh,Illiterate,Secondary,5,3.8,Yes,Yes,No,Yes,77,29,1
15,West Bengal,Urban,3-5 Lakh,Illiterate,Illiterate,2,1.5,Yes,Yes,Yes,Yes,48,80,1
11,Karnataka,Rural,Below 1 Lakh,Illiterate,Secondary,4,1.8,Yes,Yes,Yes,No,91,80,0
17,Madhya Pradesh,Urban,Below 1 Lakh,Secondary,Illiterate,3,4.4,Yes,Yes,No,Yes,76,51,1
12,Gujarat,Rural,1-3 Lakh,Primary,Illiterate,5,0.3,Yes,Yes,Yes,No,66,54,0
17,Rajasthan,Rural,Below 1 Lakh,Secondary,Illiterate,2,1.2,Yes,No,No,No,68,80,0
16,Madhya Pradesh,Rural,Below 1 Lakh,Secondary,Illiterate,3,8.3,No,No,No,Yes,69,42,1
13,Bihar,Urban,1-3 Lakh,Secondary,Illiterate,0,2.1,Yes,Yes,No,No,81,66,0
13,Madhya Pradesh,Rural,Below 1 Lakh,Primary,Illiterate,6,0.3,No,Yes,No,No,78,45,1
15,Maharashtra,Urban,Below 1 Lakh,Secondary,Illiterate,6,0.6,No,No,No,No,85,77,1
14,Uttar Pradesh,Rural,Above 5 Lakh,Primary,Illiterate,3,3.4,No,No,Yes,No,94,81,1
15,West Bengal,Rural,1-3 Lakh,Illiterate,Illiterate,3,5.8,No,No,No,No,77,100,1
12,Tamil Nadu,Rural,Below 1 Lakh,Illiterate,Secondary,3,1.1,No,No,Yes,No,86,87,0
16,Karnataka,Urban,Below 1 Lakh,Primary,Primary,0,1.0,Yes,No,No,No,83,90,0
13,Maharashtra,Rural,3-5 Lakh,Graduate,Primary,3,2.7,Yes,Yes,No,No,85,84,0
13,Rajasthan,Rural,Below 1 Lakh,Secondary,Secondary,0,3.7,No,Yes,Yes,No,100,100,0
16,Rajasthan,Rural,Below 1 Lakh,Graduate,Illiterate,2,0.5,No,No,No,No,57,39,1
11,Bihar,Rural,Below 1 Lakh,Illiterate,Secondary,0,9.5,Yes,Yes,No,Yes,90,100,0
12,Odisha,Rural,Below 1 Lakh,Primary,Primary,2,2.2,Yes,No,No,No,53,88,1
11,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Illiterate,2,3.0,Yes,No,Yes,Yes,94,60,1
14,Madhya Pradesh,Urban,Below 1 Lakh,Illiterate,Illiterate,3,0.1,Yes,Yes,Yes,No,67,63,0
12,Gujarat,Urban,Below 1 Lakh,Illiterate,Primary,1,0.4,Yes,Yes,No,No,78,59,0
16,Odisha,Urban,3-5 Lakh,Secondary,Primary,6,1.1,Yes,No,Yes,Yes,61,42,1
12,Odisha,Rural,Above 5 Lakh,Secondary,Primary,2,0.7,Yes,No,No,No,76,48,1
12,Odisha,Urban,1-3 Lakh,Primary,Primary,0,3.5,No,No,Yes,No,100,58,0
11,Karnataka,Urban,Below 1 Lakh,Illiterate,Primary,4,0.1,Yes,No,Yes,No,100,58,0
13,Bihar,Urban,1-3 Lakh,Primary,Illiterate,1,0.0,Yes,No,Yes,Yes,84,72,0
16,West Bengal,Rural,Below 1 Lakh,Secondary,Illiterate,3,1.3,Yes,No,Yes,No,53,45,0
17,Gujarat,Rural,1-3 Lakh,Illiterate,Primary,5,1.2,Yes,No,Yes,Yes,67,68,1
15,Rajasthan,Urban,1-3 Lakh,Primary,Secondary,6,1.1,Yes,Yes,No,No,71,100,0
15,Rajasthan,Urban,Below 1 Lakh,Illiterate,Secondary,5,4.2,Yes,No,Yes,Yes,100,78,1
14,Gujarat,Rural,3-5 Lakh,Illiterate,Secondary,0,5.5,Yes,No,Yes,No,88,33,0
16,West Bengal,Urban,Below 1 Lakh,Graduate,Secondary,6,6.7,No,Yes,No,No,67,47,1
17,Gujarat,Rural,1-3 Lakh,Illiterate,Secondary,1,1.0,No,No,Yes,No,69,41,1
17,Bihar,Urban,1-3 Lakh,Primary,Secondary,6,1.5,Yes,Yes,No,Yes,47,54,0
14,Karnataka,Rural,Below 1 Lakh,Primary,Graduate,4,3.4,Yes,No,Yes,No,45,53,1
14,Gujarat,Urban,Above 5 Lakh,Primary,Illiterate,6,2.6,No,No,No,No,68,57,1
15,Karnataka,Rural,Below 1 Lakh,Graduate,Primary,1,1.4,Yes,No,No,Yes,50,85,1
12,Rajasthan,Rural,3-5 Lakh,Graduate,Illiterate,2,5.4,Yes,Yes,Yes,No,65,76,0
17,Bihar,Urban,3-5 Lakh,Illiterate,Secondary,6,3.0,Yes,No,Yes,Yes,75,75,0
13,Tamil Nadu,Urban,3-5 Lakh,Illiterate,Primary,3,1.0,Yes,Yes,No,Yes,98,82,0
16,Maharashtra,Rural,Below 1 Lakh,Secondary,Primary,4,4.5,Yes,Yes,No,No,75,39,0
15,West Bengal,Urban,3-5 Lakh,Illiterate,Illiterate,1,0.6,Yes,Yes,No,No,44,69,1
11,Tamil Nadu,Rural,Below 1 Lakh,Graduate,Primary,2,1.1,No,No,No,No,79,36,1
11,Tamil Nadu,Urban,Below 1 Lakh,Primary,Primary,3,2.5,No,No,No,No,89,49,1
12,Madhya Pradesh,Rural,1-3 Lakh,Graduate,Illiterate,5,9.1,No,No,No,No,53,70,1
11,Uttar Pradesh,Urban,1-3 Lakh,Illiterate,Illiterate,4,0.7,No,No,No,No,76,50,0
16,Rajasthan,Rural,3-5 Lakh,Secondary,Illiterate,6,6.8,Yes,Yes,No,No,47,66,0
12,West Bengal,Urban,3-5 Lakh,Illiterate,Graduate,1,1.1,Yes,No,Yes,Yes,75,66,0
11,Tamil Nadu,Urban,Below 1 Lakh,Primary,Graduate,5,1.2,Yes,Yes,Yes,No,80,55,0
12,Uttar Pradesh,Rural,Above 5 Lakh,Secondary,Illiterate,3,0.8,Yes,No,No,No,77,28,0
14,Karnataka,Rural,3-5 Lakh,Illiterate,Primary,3,7.9,Yes,No,Yes,No,66,67,0
14,Gujarat,Rural,Above 5 Lakh,Illiterate,Primary,3,0.2,No,Yes,No,No,75,35,0
13,Rajasthan,Rural,1-3 Lakh,Secondary,Primary,4,5.0,Yes,No,No,No,51,41,1
12,Bihar,Rural,Below 1 Lakh,Illiterate,Graduate,5,0.6,Yes,No,No,No,93,55,0
17,Uttar Pradesh,Rural,Below 1 Lakh,Primary,Illiterate,2,3.2,Yes,No,Yes,Yes,77,82,1
13,West Bengal,Rural,Above 5 Lakh,Illiterate,Primary,1,1.7,Yes,No,Yes,Yes,65,62,1
16,Odisha,Rural,Below 1 Lakh,Secondary,Secondary,4,0.1,No,No,No,No,100,86,0
11,Madhya Pradesh,Rural,3-5 Lakh,Illiterate,Illiterate,5,0.7,Yes,Yes,No,No,69,91,0
15,West Bengal,Rural,1-3 Lakh,Secondary,Graduate,3,2.5,Yes,Yes,No,Yes,45,59,1
16,Gujarat,Rural,Below 1 Lakh,Secondary,Primary,1,0.6,Yes,No,Yes,No,80,48,0
13,West Bengal,Urban,1-3 Lakh,Secondary,Illiterate,4,2.0,No,No,No,No,91,70,0
17,Gujarat,Rural,Below 1 Lakh,Primary,Illiterate,3,5.1,Yes,No,No,Yes,57,39,1
16,Maharashtra,Rural,Below 1 Lakh,Illiterate,Secondary,3,1.0,No,No,No,No,60,60,0
16,Madhya Pradesh,Rural,1-3 Lakh,Illiterate,Primary,0,0.1,Yes,No,No,No,68,82,1
